,beta,HR (95% CI for HR),wald.test,p.value
CSF3,0.036,1 (0.93-1.2),0.41,0.52
GPR84,-0.077,0.93 (0.73-1.2),0.41,0.52
PIFO,-0.058,0.94 (0.79-1.1),0.42,0.52
PI4KAP2,-0.068,0.93 (0.76-1.1),0.42,0.52
L1CAM,0.033,1 (0.93-1.1),0.4,0.53
NEUROD4,0.16,1.2 (0.72-1.9),0.4,0.53
SLC35F4,-0.37,0.69 (0.21-2.2),0.39,0.53
TLX1,0.065,1.1 (0.87-1.3),0.4,0.53
STRIP2,0.069,1.1 (0.86-1.3),0.39,0.53
CMKLR1,0.049,1.1 (0.9-1.2),0.39,0.53
AVPR1B,-0.53,0.59 (0.11-3.2),0.38,0.54
MROH2A,-0.046,0.96 (0.82-1.1),0.37,0.54
BMP3,-0.026,0.97 (0.89-1.1),0.37,0.54
OTOF,-0.093,0.91 (0.67-1.2),0.37,0.54
FAT3,0.12,1.1 (0.77-1.6),0.38,0.54
CACNG6,0.11,1.1 (0.78-1.6),0.37,0.54
ASB10,0.92,2.5 (0.13-47),0.37,0.54
CA4,-0.039,0.96 (0.85-1.1),0.38,0.54
SAA1,-0.018,0.98 (0.92-1),0.35,0.55
RTL1,0.13,1.1 (0.74-1.8),0.35,0.55
PLAUR,0.037,1 (0.92-1.2),0.35,0.55
PLCE1.AS2,-0.45,0.64 (0.15-2.8),0.36,0.55
PLA2G2A,-0.017,0.98 (0.93-1),0.35,0.55
LDHAL6A,-0.095,0.91 (0.66-1.2),0.35,0.56
CARD18,0.074,1.1 (0.84-1.4),0.33,0.56
MYO1B,0.039,1 (0.91-1.2),0.34,0.56
C20orf197,0.074,1.1 (0.84-1.4),0.34,0.56
GRM6,-0.16,0.85 (0.49-1.5),0.34,0.56
BTG4,0.67,2 (0.21-18),0.34,0.56
CXCL5,0.029,1 (0.93-1.1),0.32,0.57
GABRR3,-0.27,0.76 (0.3-1.9),0.32,0.57
NFE4,0.054,1.1 (0.88-1.3),0.33,0.57
LURAP1L.AS1,0.16,1.2 (0.68-2),0.32,0.57
CACNB4,-0.14,0.87 (0.54-1.4),0.31,0.58
FREM1,0.087,1.1 (0.8-1.5),0.31,0.58
TFPI2,0.023,1 (0.94-1.1),0.29,0.59
AVP,-0.15,0.86 (0.5-1.5),0.29,0.59
FAM78B,-0.045,0.96 (0.81-1.1),0.29,0.59
CLEC3A,0.061,1.1 (0.85-1.3),0.3,0.59
HTR1D,-0.052,0.95 (0.78-1.1),0.29,0.59
HCG22,0.16,1.2 (0.64-2.2),0.28,0.6
LILRA6,0.089,1.1 (0.78-1.5),0.28,0.6
MAN1C1,-0.025,0.98 (0.89-1.1),0.27,0.61
FUT9,-0.067,0.94 (0.72-1.2),0.26,0.61
KHDC1L,0.068,1.1 (0.82-1.4),0.26,0.61
LINC00160,0.18,1.2 (0.6-2.4),0.27,0.61
TEPP,0.036,1 (0.9-1.2),0.26,0.61
OR9K2,-0.72,0.49 (0.031-7.6),0.26,0.61
MRGPRD,0.21,1.2 (0.54-2.8),0.25,0.62
KCNJ13,0.095,1.1 (0.75-1.6),0.24,0.62
C1orf68,-0.14,0.87 (0.49-1.5),0.25,0.62
CCDC183,-0.07,0.93 (0.71-1.2),0.24,0.62
BPIFB2,-0.11,0.9 (0.58-1.4),0.23,0.63
IL1F10,0.23,1.3 (0.5-3.1),0.23,0.63
ANKRD19P,-0.035,0.97 (0.84-1.1),0.23,0.63
GHRH,0.034,1 (0.9-1.2),0.23,0.63
PPP4R4,-0.073,0.93 (0.69-1.3),0.22,0.64
TPPP2,0.18,1.2 (0.56-2.6),0.22,0.64
TRAV30,-0.031,0.97 (0.85-1.1),0.22,0.64
DEFB126,-0.048,0.95 (0.78-1.2),0.22,0.64
PPP1R14D,-0.024,0.98 (0.89-1.1),0.22,0.64
RN7SKP248,-0.17,0.84 (0.42-1.7),0.22,0.64
IL36B,0.12,1.1 (0.68-1.9),0.21,0.65
LINC00911,-0.21,0.81 (0.32-2.1),0.2,0.65
BNIP3P40,0.081,1.1 (0.76-1.5),0.2,0.65
OR7E121P,-0.079,0.92 (0.65-1.3),0.2,0.66
NCF2,0.027,1 (0.91-1.2),0.2,0.66
LIPI,-0.35,0.71 (0.15-3.3),0.2,0.66
NRXN1,0.15,1.2 (0.61-2.2),0.2,0.66
IL12RB2,-0.096,0.91 (0.59-1.4),0.19,0.67
GCNT3,-0.036,0.96 (0.82-1.1),0.18,0.67
CNFN,0.018,1 (0.93-1.1),0.17,0.68
CPNE6,-0.26,0.77 (0.23-2.6),0.17,0.68
G0S2,0.018,1 (0.94-1.1),0.17,0.68
MS4A5,-0.39,0.67 (0.1-4.5),0.16,0.68
UPK1A,-0.0087,0.99 (0.95-1),0.15,0.69
PDCD1LG2,-0.029,0.97 (0.84-1.1),0.16,0.69
CASP14,0.011,1 (0.96-1.1),0.16,0.69
S100A3,0.023,1 (0.91-1.1),0.16,0.69
SLC35F3,-0.059,0.94 (0.7-1.3),0.16,0.69
SLC38A5,0.019,1 (0.93-1.1),0.16,0.69
FBLL1,-0.04,0.96 (0.79-1.2),0.16,0.69
LRRTM3,-0.088,0.92 (0.6-1.4),0.16,0.69
ODF4,-0.094,0.91 (0.57-1.5),0.15,0.69
KHSRPP1,-0.16,0.86 (0.4-1.8),0.16,0.69
SPINK6,-0.03,0.97 (0.84-1.1),0.15,0.7
IL1R2,-0.03,0.97 (0.83-1.1),0.14,0.7
PPP1R14C,0.017,1 (0.93-1.1),0.14,0.7
PGM5.AS1,0.044,1 (0.83-1.3),0.14,0.7
ZP4,0.15,1.2 (0.54-2.5),0.15,0.7
S100A2,-0.0093,0.99 (0.94-1),0.15,0.7
LINC01541,-0.039,0.96 (0.79-1.2),0.14,0.71
LAMC2,0.014,1 (0.94-1.1),0.14,0.71
CDH16,-0.064,0.94 (0.66-1.3),0.13,0.71
MAGEB17,0.058,1.1 (0.78-1.4),0.14,0.71
DHRS9,0.021,1 (0.92-1.1),0.14,0.71
PLCD1,0.022,1 (0.91-1.1),0.14,0.71
MGAM,0.057,1.1 (0.78-1.4),0.14,0.71
RBFOX3,0.056,1.1 (0.78-1.4),0.13,0.72
RAB38,0.016,1 (0.93-1.1),0.11,0.73
DEFB4A,-0.033,0.97 (0.79-1.2),0.11,0.74
ABCA9,-0.049,0.95 (0.71-1.3),0.11,0.74
MRGPRX3,0.046,1 (0.79-1.4),0.1,0.75
ATP4A,0.088,1.1 (0.64-1.9),0.1,0.75
DACH2,-0.079,0.92 (0.57-1.5),0.1,0.75
CCL20,-0.014,0.99 (0.91-1.1),0.1,0.75
SH2D5,0.034,1 (0.84-1.3),0.1,0.76
SERPINB1,0.017,1 (0.91-1.1),0.09,0.76
TCHHL1,-0.077,0.93 (0.56-1.5),0.09,0.76
HKDC1,0.027,1 (0.86-1.2),0.09,0.76
GRAMD1B,-0.046,0.95 (0.71-1.3),0.1,0.76
RPL21P32,-0.15,0.86 (0.33-2.3),0.1,0.76
GUCA2A,-0.012,0.99 (0.91-1.1),0.08,0.77
KLC3,-0.02,0.98 (0.86-1.1),0.08,0.77
TRIML2,-0.04,0.96 (0.72-1.3),0.07,0.78
ANKRD1,0.027,1 (0.85-1.2),0.08,0.78
VEGFC,-0.018,0.98 (0.86-1.1),0.08,0.78
INSM1,0.024,1 (0.87-1.2),0.08,0.78
RRAD,0.012,1 (0.93-1.1),0.08,0.78
CLDN17,-0.075,0.93 (0.55-1.6),0.08,0.78
IL13RA2,0.017,1 (0.91-1.1),0.08,0.78
CASR,-0.059,0.94 (0.61-1.4),0.07,0.79
MLIP.IT1,0.11,1.1 (0.5-2.5),0.07,0.79
C12orf54,0.026,1 (0.85-1.2),0.07,0.79
RPL7P51,0.084,1.1 (0.59-2),0.07,0.79
XKR7,0.07,1.1 (0.65-1.8),0.07,0.79
TMEM178B,-0.028,0.97 (0.79-1.2),0.07,0.79
LINC00452,0.12,1.1 (0.44-2.9),0.06,0.8
ZBTB8B,-0.062,0.94 (0.58-1.5),0.06,0.8
KRT18P59,0.085,1.1 (0.56-2.1),0.06,0.8
TDRG1,0.053,1.1 (0.7-1.6),0.06,0.8
MYOC,-0.04,0.96 (0.7-1.3),0.06,0.8
TLL2,-0.044,0.96 (0.68-1.4),0.06,0.8
LILRA5,0.022,1 (0.86-1.2),0.07,0.8
BNIP3P24,-0.045,0.96 (0.66-1.4),0.06,0.81
PDZK1IP1,0.0078,1 (0.95-1.1),0.06,0.81
CXCL1,0.0083,1 (0.94-1.1),0.06,0.81
MUC13,-0.022,0.98 (0.81-1.2),0.06,0.81
FABP7,-0.017,0.98 (0.86-1.1),0.06,0.81
SEZ6L,0.033,1 (0.78-1.4),0.05,0.82
ROPN1,-0.38,0.68 (0.027-17),0.05,0.82
CABP7,-0.026,0.97 (0.78-1.2),0.05,0.82
ANKUB1,-0.098,0.91 (0.38-2.2),0.05,0.82
LINC01010,0.052,1.1 (0.65-1.7),0.04,0.83
ANXA3,0.011,1 (0.91-1.1),0.05,0.83
ZNF321P,-0.59,0.55 (0.0028-110),0.05,0.83
TSGA10IP,0.043,1 (0.71-1.5),0.05,0.83
P2RX2,0.036,1 (0.74-1.5),0.04,0.83
ZSCAN1,0.041,1 (0.72-1.5),0.05,0.83
NLRP10,0.048,1 (0.67-1.6),0.04,0.84
MMP3,0.0093,1 (0.92-1.1),0.04,0.84
HS3ST5,-0.026,0.97 (0.76-1.3),0.04,0.84
KRTAP19.1,-0.042,0.96 (0.64-1.4),0.04,0.84
FADS6,0.016,1 (0.87-1.2),0.04,0.84
GSDMC,0.0098,1 (0.91-1.1),0.04,0.85
SPATA31E1,-0.18,0.83 (0.12-5.7),0.03,0.85
PWAR5,-0.03,0.97 (0.71-1.3),0.03,0.85
SAMD9,-0.01,0.99 (0.89-1.1),0.04,0.85
RPRM,-0.014,0.99 (0.85-1.1),0.03,0.86
ZPLD1,0.063,1.1 (0.51-2.2),0.03,0.87
LARGE.AS1,0.069,1.1 (0.47-2.5),0.03,0.87
RLBP1,0.032,1 (0.7-1.5),0.03,0.87
CD70,0.013,1 (0.86-1.2),0.02,0.88
LGALS9C,0.047,1 (0.56-1.9),0.02,0.88
OR5M11,0.049,1 (0.57-1.9),0.02,0.88
MAGEB2,0.0094,1 (0.89-1.2),0.02,0.89
RAPSN,-0.017,0.98 (0.78-1.2),0.02,0.89
CA2,0.006,1 (0.92-1.1),0.02,0.89
PEG3,0.014,1 (0.83-1.2),0.02,0.89
ARHGEF7.AS2,-0.11,0.9 (0.2-4),0.02,0.89
LINC01082,0.012,1 (0.85-1.2),0.02,0.89
MIMT1,-0.17,0.84 (0.07-10),0.02,0.89
MYBPC1,-0.0079,0.99 (0.88-1.1),0.02,0.9
FGF5,0.022,1 (0.72-1.4),0.01,0.9
NRXN3,-0.016,0.98 (0.77-1.3),0.02,0.9
APOBEC3A,-0.0073,0.99 (0.88-1.1),0.02,0.9
SCN11A,-0.018,0.98 (0.72-1.3),0.01,0.91
MMP20,-0.044,0.96 (0.41-2.2),0.01,0.92
SIGLEC12,-0.012,0.99 (0.79-1.2),0.01,0.92
KRT17P6,0.029,1 (0.58-1.8),0.01,0.92
OR5M6P,-0.053,0.95 (0.33-2.8),0.01,0.92
FOXN4,-0.014,0.99 (0.73-1.3),0.01,0.93
RIMS4,0.013,1 (0.76-1.4),0.01,0.93
SH3RF2,0.0059,1 (0.86-1.2),0.01,0.94
COL6A5,-0.018,0.98 (0.59-1.6),0.01,0.94
MYH15,-0.026,0.97 (0.52-1.8),0.01,0.94
SLC8A1.AS1,-0.043,0.96 (0.3-3),0.01,0.94
KLK3,-0.012,0.99 (0.73-1.3),0.01,0.94
MTUS2,-0.0068,0.99 (0.83-1.2),0.01,0.94
CYP1A2,-0.0043,1 (0.88-1.1),0,0.95
PCP4L1,0.002,1 (0.94-1.1),0,0.95
HAVCR1,0.0043,1 (0.88-1.1),0,0.95
CDSN,-0.0079,0.99 (0.73-1.3),0,0.96
CT62,-0.016,0.98 (0.55-1.8),0,0.96
NT5E,-0.0028,1 (0.9-1.1),0,0.96
VNN3,-0.01,0.99 (0.66-1.5),0,0.96
SCUBE2,-0.0021,1 (0.92-1.1),0,0.96
GSTM5,0.0054,1 (0.83-1.2),0,0.96
MYO18B,0.011,1 (0.62-1.7),0,0.96
RNF126P1,0.0097,1 (0.68-1.5),0,0.96
HEPHL1,0.0029,1 (0.87-1.2),0,0.97
CLCF1,-0.0026,1 (0.87-1.1),0,0.97
NYAP2,0.011,1 (0.56-1.8),0,0.97
CEACAM19,0.0019,1 (0.83-1.2),0,0.98
HS3ST6,0.00097,1 (0.91-1.1),0,0.98
ADAMTS19,0.0049,1 (0.69-1.5),0,0.98
LHX1,-0.0034,1 (0.76-1.3),0,0.98
PI16,0.0014,1 (0.89-1.1),0,0.98
MYT1,0.0011,1 (0.85-1.2),0,0.99
TYMP,0.00041,1 (0.92-1.1),0,0.99
CEACAM7,-0.00017,1 (0.91-1.1),0,1
